Location,Date,Time,Vehicle_Count,Traffic_Density,Average_Speed,Road_Type,Weather,Accident_Reported,Signal_Status
IT Park,2025-04-05,14:00:00,389,High,38,Main Road,Cloudy,No,Yellow
Sector 22,2025-04-05,15:00:00,396,Low,13,Street,Foggy,No,Green
Sector 22,2025-04-05,16:00:00,695,Low,70,Street,Cloudy,No,Green
Industrial Area,2025-04-05,17:00:00,1420,Medium,26,Main Road,Foggy,No,Red
Sector 43,2025-04-05,18:00:00,698,High,37,Street,Cloudy,No,Green
IT Park,2025-04-05,19:00:00,294,Low,59,Main Road,Cloudy,No,Green
IT Park,2025-04-05,20:00:00,158,Medium,17,Main Road,Rainy,No,Red
Sector 22,2025-04-05,21:00:00,1898,Low,43,Street,Cloudy,No,Green
Sector 17,2025-04-05,22:00:00,1872,High,68,Highway,Sunny,No,Green
Sector 43,2025-04-05,23:00:00,582,Low,27,Main Road,Foggy,No,Red
IT Park,2025-04-06,00:00:00,1163,High,68,Main Road,Foggy,Yes,Red
Sector 22,2025-04-06,01:00:00,345,Low,36,Main Road,Cloudy,No,Green
IT Park,2025-04-06,02:00:00,161,High,25,Main Road,Sunny,No,Red
Sector 43,2025-04-06,03:00:00,1886,Medium,19,Street,Cloudy,No,Green
Sector 43,2025-04-06,04:00:00,1662,High,31,Street,Cloudy,No,Green
Sector 35,2025-04-06,05:00:00,1250,Medium,25,Main Road,Rainy,Yes,Green
Industrial Area,2025-04-06,06:00:00,392,High,21,Highway,Cloudy,Yes,Green
Industrial Area,2025-04-06,07:00:00,1733,Medium,60,Street,Cloudy,No,Red
Sector 22,2025-04-06,08:00:00,150,Low,10,Highway,Rainy,Yes,Red
Sector 43,2025-04-06,09:00:00,1831,High,36,Highway,Rainy,No,Yellow
Sector 35,2025-04-06,10:00:00,678,Low,76,Main Road,Sunny,No,Red
Sector 35,2025-04-06,11:00:00,1677,Medium,21,Street,Rainy,No,Yellow
IT Park,2025-04-06,12:00:00,1474,High,39,Main Road,Foggy,No,Green
IT Park,2025-04-06,13:00:00,77,High,18,Main Road,Foggy,No,Red
Sector 35,2025-04-06,14:00:00,986,Low,62,Highway,Sunny,No,Green
IT Park,2025-04-06,15:00:00,1610,High,70,Highway,Cloudy,No,Yellow
Sector 43,2025-04-06,16:00:00,107,High,63,Highway,Sunny,No,Red
Sector 17,2025-04-06,17:00:00,1571,Low,46,Main Road,Rainy,No,Red
Sector 43,2025-04-06,18:00:00,346,High,74,Main Road,Cloudy,No,Red
Sector 35,2025-04-06,19:00:00,183,Low,51,Main Road,Sunny,No,Red
Sector 35,2025-04-06,20:00:00,1404,Low,58,Main Road,Sunny,No,Green
Sector 43,2025-04-06,21:00:00,298,Low,13,Main Road,Foggy,No,Red
IT Park,2025-04-06,22:00:00,1070,Low,73,Main Road,Sunny,Yes,Yellow
IT Park,2025-04-06,23:00:00,599,Low,60,Main Road,Cloudy,No,Red
Industrial Area,2025-04-07,00:00:00,951,Medium,69,Main Road,Sunny,No,Yellow
Sector 35,2025-04-07,01:00:00,1148,Medium,40,Street,Sunny,No,Yellow
Sector 22,2025-04-07,02:00:00,1727,Low,67,Street,Rainy,No,Green
Industrial Area,2025-04-07,03:00:00,883,Medium,13,Street,Sunny,No,Red
IT Park,2025-04-07,04:00:00,1241,Medium,31,Street,Cloudy,No,Yellow
Sector 43,2025-04-07,05:00:00,820,High,12,Main Road,Foggy,No,Red
IT Park,2025-04-07,06:00:00,1576,Low,56,Main Road,Foggy,No,Green
Sector 43,2025-04-07,07:00:00,1958,Medium,47,Highway,Foggy,No,Green
Industrial Area,2025-04-07,08:00:00,1428,High,42,Highway,Foggy,Yes,Red
Sector 35,2025-04-07,09:00:00,1298,High,57,Street,Rainy,No,Yellow
IT Park,2025-04-07,10:00:00,1737,Low,74,Highway,Cloudy,No,Green
Sector 43,2025-04-07,11:00:00,1604,Low,35,Street,Rainy,Yes,Yellow
Sector 35,2025-04-07,12:00:00,195,High,17,Main Road,Foggy,No,Yellow
Sector 22,2025-04-07,13:00:00,1314,Low,59,Main Road,Rainy,No,Red
Sector 43,2025-04-07,14:00:00,1957,Low,47,Highway,Sunny,No,Green
Industrial Area,2025-04-07,15:00:00,942,High,19,Main Road,Cloudy,No,Red
Sector 22,2025-04-07,16:00:00,393,High,51,Main Road,Sunny,No,Red
Sector 22,2025-04-07,17:00:00,1822,Low,46,Street,Rainy,Yes,Red
Sector 17,2025-04-07,18:00:00,1108,Medium,35,Highway,Sunny,No,Yellow
IT Park,2025-04-07,19:00:00,751,Low,21,Main Road,Rainy,No,Red
Sector 43,2025-04-07,20:00:00,50,Medium,58,Highway,Rainy,No,Green
Sector 22,2025-04-07,21:00:00,202,High,23,Main Road,Cloudy,No,Yellow
Sector 17,2025-04-07,22:00:00,478,Medium,55,Street,Cloudy,Yes,Red
Industrial Area,2025-04-07,23:00:00,557,High,44,Main Road,Cloudy,No,Green
Sector 35,2025-04-08,00:00:00,1199,Low,38,Highway,Foggy,No,Red
Sector 43,2025-04-08,01:00:00,540,Low,21,Highway,Cloudy,No,Red
Sector 22,2025-04-08,02:00:00,1555,High,53,Street,Sunny,No,Red
IT Park,2025-04-08,03:00:00,394,High,75,Main Road,Cloudy,No,Yellow
Sector 17,2025-04-08,04:00:00,1985,High,11,Street,Cloudy,No,Red
Sector 22,2025-04-08,05:00:00,1811,Low,68,Highway,Cloudy,No,Green
IT Park,2025-04-08,06:00:00,270,Low,26,Street,Rainy,Yes,Red
Sector 22,2025-04-08,07:00:00,1988,Medium,19,Main Road,Rainy,No,Red
Sector 43,2025-04-08,08:00:00,1992,High,27,Main Road,Cloudy,No,Yellow
Sector 43,2025-04-08,09:00:00,772,Medium,31,Street,Rainy,No,Red
Sector 43,2025-04-08,10:00:00,1098,Low,67,Highway,Rainy,No,Green
Industrial Area,2025-04-08,11:00:00,577,Medium,62,Highway,Foggy,No,Green
Industrial Area,2025-04-08,12:00:00,1255,Medium,10,Street,Sunny,No,Red
Sector 17,2025-04-08,13:00:00,1572,Low,70,Main Road,Rainy,No,Green
Sector 43,2025-04-08,14:00:00,890,Low,40,Main Road,Sunny,No,Green
IT Park,2025-04-08,15:00:00,1714,High,40,Main Road,Rainy,No,Red
Sector 22,2025-04-08,16:00:00,1115,Medium,75,Main Road,Cloudy,No,Green
Sector 35,2025-04-08,17:00:00,1988,Low,28,Highway,Rainy,No,Green
IT Park,2025-04-08,18:00:00,530,Low,62,Main Road,Rainy,No,Red
Industrial Area,2025-04-08,19:00:00,979,Medium,31,Street,Sunny,No,Yellow
Industrial Area,2025-04-08,20:00:00,1921,Low,32,Street,Cloudy,No,Yellow
IT Park,2025-04-08,21:00:00,1821,High,24,Street,Foggy,Yes,Red
Industrial Area,2025-04-08,22:00:00,921,High,35,Street,Sunny,No,Yellow
Sector 43,2025-04-08,23:00:00,1512,Medium,12,Main Road,Cloudy,No,Yellow
Sector 17,2025-04-09,00:00:00,1475,High,29,Highway,Cloudy,No,Yellow
Sector 22,2025-04-09,01:00:00,1619,Low,49,Main Road,Sunny,No,Yellow
Sector 17,2025-04-09,02:00:00,394,Low,48,Highway,Rainy,No,Red
Sector 22,2025-04-09,03:00:00,1966,Low,27,Main Road,Cloudy,No,Yellow
Sector 22,2025-04-09,04:00:00,94,Low,50,Highway,Foggy,No,Yellow
Sector 17,2025-04-09,05:00:00,1719,Medium,79,Street,Rainy,No,Red
IT Park,2025-04-09,06:00:00,70,High,36,Street,Sunny,No,Red
Sector 22,2025-04-09,07:00:00,1707,High,24,Highway,Sunny,No,Yellow
Sector 17,2025-04-09,08:00:00,1143,Low,46,Highway,Sunny,No,Green
Sector 22,2025-04-09,09:00:00,1937,Medium,67,Highway,Sunny,No,Red
Sector 35,2025-04-09,10:00:00,922,Low,14,Street,Foggy,No,Red
IT Park,2025-04-09,11:00:00,97,Low,16,Street,Foggy,No,Yellow
Sector 43,2025-04-09,12:00:00,1564,Medium,50,Main Road,Cloudy,No,Green
Sector 22,2025-04-09,13:00:00,600,Medium,19,Highway,Foggy,No,Red
Sector 35,2025-04-09,14:00:00,336,Low,71,Highway,Sunny,No,Red
Sector 43,2025-04-09,15:00:00,1051,High,35,Highway,Foggy,No,Red
Sector 43,2025-04-09,16:00:00,1083,Low,77,Street,Rainy,No,Green
Sector 22,2025-04-09,17:00:00,591,High,33,Highway,Rainy,No,Red
Sector 17,2025-04-09,18:00:00,805,High,50,Highway,Cloudy,No,Red
Sector 22,2025-04-09,19:00:00,323,Medium,74,Street,Sunny,No,Green
Sector 35,2025-04-09,20:00:00,1005,Medium,26,Highway,Foggy,No,Red
Sector 43,2025-04-09,21:00:00,649,Low,33,Main Road,Cloudy,No,Green
Sector 22,2025-04-09,22:00:00,1829,High,36,Street,Cloudy,No,Green
Sector 17,2025-04-09,23:00:00,430,High,16,Street,Foggy,No,Green
Sector 22,2025-04-10,00:00:00,1402,Low,21,Street,Cloudy,No,Yellow
IT Park,2025-04-10,01:00:00,528,Low,12,Main Road,Sunny,No,Red
Sector 17,2025-04-10,02:00:00,64,Low,19,Street,Foggy,No,Red
Sector 35,2025-04-10,03:00:00,565,Medium,42,Street,Rainy,No,Red
Sector 43,2025-04-10,04:00:00,240,Low,55,Street,Rainy,No,Green
Sector 22,2025-04-10,05:00:00,1241,Low,68,Street,Foggy,No,Yellow
Sector 17,2025-04-10,06:00:00,1594,High,61,Main Road,Cloudy,No,Green
IT Park,2025-04-10,07:00:00,670,Low,15,Highway,Cloudy,No,Red
Sector 17,2025-04-10,08:00:00,1210,High,11,Highway,Rainy,No,Green
Industrial Area,2025-04-10,09:00:00,203,High,38,Street,Rainy,No,Yellow
IT Park,2025-04-10,10:00:00,1461,Medium,49,Main Road,Sunny,No,Red
Sector 35,2025-04-10,11:00:00,1282,Low,70,Street,Cloudy,No,Green
Sector 43,2025-04-10,12:00:00,321,Low,77,Highway,Sunny,No,Yellow
Sector 35,2025-04-10,13:00:00,192,High,77,Highway,Rainy,No,Green
Sector 22,2025-04-10,14:00:00,1684,Medium,38,Main Road,Rainy,Yes,Green
Sector 17,2025-04-10,15:00:00,1962,Medium,71,Highway,Rainy,No,Red
Industrial Area,2025-04-10,16:00:00,1893,Low,69,Street,Rainy,No,Yellow
IT Park,2025-04-10,17:00:00,1142,High,50,Main Road,Sunny,No,Green
IT Park,2025-04-10,18:00:00,296,Low,74,Highway,Rainy,No,Yellow
Sector 17,2025-04-10,19:00:00,1334,Low,73,Street,Foggy,No,Red
Industrial Area,2025-04-10,20:00:00,837,Low,72,Main Road,Cloudy,No,Red
Sector 17,2025-04-10,21:00:00,128,Low,57,Street,Rainy,No,Red
Sector 22,2025-04-10,22:00:00,1731,High,29,Highway,Cloudy,No,Yellow
Sector 35,2025-04-10,23:00:00,672,Medium,46,Street,Rainy,No,Yellow
IT Park,2025-04-11,00:00:00,1843,Low,73,Main Road,Sunny,No,Green
Sector 22,2025-04-11,01:00:00,1678,Low,14,Street,Cloudy,No,Yellow
Sector 35,2025-04-11,02:00:00,574,Low,43,Highway,Sunny,Yes,Red
Sector 22,2025-04-11,03:00:00,821,Low,48,Main Road,Rainy,No,Green
Industrial Area,2025-04-11,04:00:00,987,Medium,76,Main Road,Foggy,No,Yellow
IT Park,2025-04-11,05:00:00,1694,Medium,71,Highway,Foggy,No,Red
Sector 17,2025-04-11,06:00:00,1403,Medium,33,Street,Foggy,No,Red
Sector 17,2025-04-11,07:00:00,1262,Medium,12,Street,Foggy,No,Green
Sector 35,2025-04-11,08:00:00,1168,Low,76,Highway,Foggy,No,Red
Sector 43,2025-04-11,09:00:00,666,High,59,Main Road,Sunny,No,Yellow
Industrial Area,2025-04-11,10:00:00,1081,Medium,38,Highway,Foggy,No,Red
Sector 35,2025-04-11,11:00:00,116,Medium,41,Main Road,Rainy,No,Green
Sector 43,2025-04-11,12:00:00,1569,Low,48,Main Road,Sunny,No,Red
Sector 22,2025-04-11,13:00:00,240,Low,18,Street,Sunny,No,Red
Industrial Area,2025-04-11,14:00:00,1439,Low,23,Highway,Foggy,Yes,Yellow
Sector 22,2025-04-11,15:00:00,817,Low,77,Main Road,Cloudy,No,Yellow
IT Park,2025-04-11,16:00:00,570,High,73,Street,Rainy,No,Yellow
Industrial Area,2025-04-11,17:00:00,1039,High,29,Highway,Sunny,No,Yellow
Sector 43,2025-04-11,18:00:00,1190,Medium,37,Highway,Rainy,No,Red
IT Park,2025-04-11,19:00:00,316,High,23,Main Road,Cloudy,Yes,Yellow
Sector 17,2025-04-11,20:00:00,1684,Medium,53,Main Road,Sunny,No,Red
Sector 43,2025-04-11,21:00:00,534,Medium,48,Main Road,Rainy,No,Yellow
Sector 35,2025-04-11,22:00:00,1582,High,37,Highway,Foggy,No,Yellow
Sector 17,2025-04-11,23:00:00,1371,Medium,73,Main Road,Sunny,No,Yellow
Sector 17,2025-04-12,00:00:00,1982,Low,41,Highway,Sunny,No,Red
Sector 35,2025-04-12,01:00:00,1237,Medium,18,Street,Sunny,No,Yellow
Industrial Area,2025-04-12,02:00:00,425,Low,37,Highway,Sunny,No,Red
Sector 17,2025-04-12,03:00:00,702,High,26,Main Road,Foggy,No,Yellow
Sector 43,2025-04-12,04:00:00,1341,High,64,Highway,Cloudy,No,Yellow
IT Park,2025-04-12,05:00:00,598,Medium,19,Main Road,Cloudy,No,Green
Sector 17,2025-04-12,06:00:00,1147,Low,15,Street,Rainy,No,Yellow
Sector 43,2025-04-12,07:00:00,1581,Medium,57,Main Road,Foggy,No,Red
Sector 22,2025-04-12,08:00:00,122,High,76,Main Road,Foggy,No,Green
Sector 43,2025-04-12,09:00:00,357,Medium,50,Main Road,Rainy,No,Red
IT Park,2025-04-12,10:00:00,248,Medium,69,Main Road,Foggy,No,Red
Sector 43,2025-04-12,11:00:00,1203,Low,51,Main Road,Foggy,No,Green
Sector 35,2025-04-12,12:00:00,1831,High,37,Main Road,Sunny,No,Yellow
IT Park,2025-04-12,13:00:00,1897,Medium,22,Street,Sunny,No,Green
Industrial Area,2025-04-12,14:00:00,621,Low,24,Street,Sunny,Yes,Red
Sector 22,2025-04-12,15:00:00,840,Medium,45,Highway,Foggy,No,Yellow
Sector 35,2025-04-12,16:00:00,1688,Low,24,Main Road,Foggy,No,Green
Industrial Area,2025-04-12,17:00:00,1881,Low,65,Highway,Cloudy,No,Red
Sector 43,2025-04-12,18:00:00,1905,Medium,13,Street,Sunny,No,Yellow
IT Park,2025-04-12,19:00:00,1560,High,61,Street,Rainy,No,Red
Sector 22,2025-04-12,20:00:00,1926,High,19,Main Road,Foggy,No,Yellow
Sector 35,2025-04-12,21:00:00,1224,Low,54,Main Road,Sunny,No,Yellow
Industrial Area,2025-04-12,22:00:00,1742,High,38,Highway,Cloudy,No,Green
Industrial Area,2025-04-12,23:00:00,1279,Low,62,Street,Sunny,No,Yellow
Sector 22,2025-04-13,00:00:00,228,High,38,Highway,Cloudy,No,Red
Sector 43,2025-04-13,01:00:00,246,Medium,32,Highway,Cloudy,No,Yellow
Sector 22,2025-04-13,02:00:00,784,High,66,Highway,Foggy,No,Red
Industrial Area,2025-04-13,03:00:00,138,Low,59,Main Road,Cloudy,No,Yellow
Sector 17,2025-04-13,04:00:00,848,Low,30,Street,Cloudy,No,Yellow
Sector 35,2025-04-13,05:00:00,1507,High,52,Highway,Rainy,No,Green
Sector 22,2025-04-13,06:00:00,837,Medium,19,Street,Cloudy,No,Yellow
Industrial Area,2025-04-13,07:00:00,797,Low,39,Street,Rainy,No,Yellow
Sector 43,2025-04-13,08:00:00,1256,Low,60,Highway,Rainy,No,Red
Industrial Area,2025-04-13,09:00:00,258,Low,42,Highway,Sunny,No,Red
Sector 43,2025-04-13,10:00:00,542,Low,27,Main Road,Sunny,No,Red
Sector 22,2025-04-13,11:00:00,1203,Low,31,Street,Foggy,No,Yellow
Sector 43,2025-04-13,12:00:00,714,Medium,73,Highway,Foggy,No,Red
IT Park,2025-04-13,13:00:00,1086,High,30,Highway,Foggy,No,Red
IT Park,2025-04-13,14:00:00,1707,Medium,10,Street,Cloudy,Yes,Yellow
IT Park,2025-04-13,15:00:00,920,Medium,24,Highway,Sunny,No,Red
Sector 17,2025-04-13,16:00:00,781,Low,45,Street,Cloudy,No,Green
Sector 22,2025-04-13,17:00:00,1179,Medium,56,Highway,Sunny,No,Green
Industrial Area,2025-04-13,18:00:00,1448,Low,63,Street,Cloudy,No,Red
Industrial Area,2025-04-13,19:00:00,1655,Medium,41,Highway,Foggy,No,Red
Sector 17,2025-04-13,20:00:00,1780,Low,67,Highway,Sunny,No,Red
Sector 43,2025-04-13,21:00:00,747,Low,55,Main Road,Sunny,No,Yellow
Sector 17,2025-04-13,22:00:00,1172,Medium,63,Street,Rainy,No,Green
Sector 43,2025-04-13,23:00:00,643,Medium,42,Main Road,Sunny,No,Green
Sector 43,2025-04-14,00:00:00,1660,High,48,Highway,Sunny,No,Red
Sector 35,2025-04-14,01:00:00,935,High,32,Street,Cloudy,No,Red
Industrial Area,2025-04-14,02:00:00,901,High,52,Street,Foggy,No,Yellow
IT Park,2025-04-14,03:00:00,1265,Medium,64,Highway,Rainy,No,Yellow
Sector 43,2025-04-14,04:00:00,374,Medium,11,Highway,Cloudy,No,Green
Sector 35,2025-04-14,05:00:00,1028,Low,75,Highway,Sunny,No,Yellow
Industrial Area,2025-04-14,06:00:00,1799,High,47,Highway,Cloudy,No,Green
IT Park,2025-04-14,07:00:00,1900,Low,38,Street,Foggy,No,Red
Sector 43,2025-04-14,08:00:00,1005,Low,76,Main Road,Rainy,No,Red
Sector 43,2025-04-14,09:00:00,1540,Low,45,Street,Cloudy,No,Green
Sector 17,2025-04-14,10:00:00,943,Low,38,Street,Sunny,No,Red
Sector 17,2025-04-14,11:00:00,1440,High,46,Street,Cloudy,No,Yellow
Industrial Area,2025-04-14,12:00:00,1391,Low,54,Street,Sunny,No,Red
IT Park,2025-04-14,13:00:00,193,Medium,25,Highway,Rainy,No,Red
Sector 43,2025-04-14,14:00:00,433,Medium,40,Main Road,Rainy,No,Green
Industrial Area,2025-04-14,15:00:00,265,Medium,43,Street,Cloudy,No,Yellow
Industrial Area,2025-04-14,16:00:00,1434,High,59,Street,Rainy,No,Yellow
Sector 22,2025-04-14,17:00:00,373,Low,74,Main Road,Foggy,Yes,Red
Sector 17,2025-04-14,18:00:00,1088,High,71,Highway,Cloudy,No,Red
IT Park,2025-04-14,19:00:00,266,Low,52,Street,Sunny,No,Yellow
Sector 43,2025-04-14,20:00:00,1565,High,65,Highway,Cloudy,No,Yellow
Industrial Area,2025-04-14,21:00:00,1000,High,24,Street,Sunny,Yes,Green
Sector 43,2025-04-14,22:00:00,1620,Low,57,Street,Rainy,No,Red
Sector 22,2025-04-14,23:00:00,232,High,58,Main Road,Sunny,Yes,Red
IT Park,2025-04-15,00:00:00,319,Low,53,Main Road,Sunny,No,Yellow
Industrial Area,2025-04-15,01:00:00,994,Medium,19,Highway,Sunny,No,Green
Sector 43,2025-04-15,02:00:00,1540,Medium,29,Street,Sunny,No,Yellow
Sector 17,2025-04-15,03:00:00,919,Medium,79,Highway,Foggy,No,Red
Sector 22,2025-04-15,04:00:00,1685,High,17,Main Road,Sunny,No,Red
IT Park,2025-04-15,05:00:00,1592,Medium,54,Main Road,Cloudy,No,Red
Sector 22,2025-04-15,06:00:00,1615,Low,43,Main Road,Foggy,No,Red
Sector 17,2025-04-15,07:00:00,516,Medium,60,Main Road,Sunny,No,Green
IT Park,2025-04-15,08:00:00,354,Medium,13,Main Road,Sunny,No,Red
Sector 22,2025-04-15,09:00:00,1217,High,48,Highway,Sunny,No,Yellow
Sector 35,2025-04-15,10:00:00,160,Low,33,Highway,Foggy,No,Green
Sector 17,2025-04-15,11:00:00,1063,High,64,Main Road,Sunny,No,Green
Sector 17,2025-04-15,12:00:00,281,High,35,Street,Sunny,No,Red
Sector 17,2025-04-15,13:00:00,1764,Low,34,Street,Sunny,No,Green
Sector 35,2025-04-15,14:00:00,1657,High,45,Street,Rainy,Yes,Red
Sector 35,2025-04-15,15:00:00,1795,Low,67,Street,Cloudy,No,Green
Sector 43,2025-04-15,16:00:00,1805,Medium,21,Street,Sunny,No,Green
Industrial Area,2025-04-15,17:00:00,1665,Low,10,Main Road,Cloudy,No,Yellow
Sector 22,2025-04-15,18:00:00,1573,Low,59,Highway,Rainy,Yes,Yellow
Sector 43,2025-04-15,19:00:00,644,Low,34,Main Road,Rainy,No,Yellow
Sector 22,2025-04-15,20:00:00,1627,High,14,Street,Sunny,No,Green
Industrial Area,2025-04-15,21:00:00,1346,Low,77,Street,Cloudy,No,Yellow
Sector 35,2025-04-15,22:00:00,1776,Low,15,Highway,Foggy,No,Yellow
Industrial Area,2025-04-15,23:00:00,222,Low,35,Main Road,Sunny,No,Yellow
Sector 35,2025-04-16,00:00:00,1022,Medium,64,Highway,Foggy,Yes,Green
Industrial Area,2025-04-16,01:00:00,1080,Low,48,Street,Rainy,No,Red
Sector 43,2025-04-16,02:00:00,1228,High,18,Street,Rainy,No,Yellow
IT Park,2025-04-16,03:00:00,1595,Low,54,Highway,Cloudy,No,Green
Sector 43,2025-04-16,04:00:00,595,Low,23,Street,Foggy,No,Green
Sector 22,2025-04-16,05:00:00,597,Medium,64,Main Road,Foggy,No,Red
Sector 43,2025-04-16,06:00:00,1994,Low,18,Street,Sunny,No,Yellow
Sector 17,2025-04-16,07:00:00,567,High,24,Street,Cloudy,No,Green
Sector 22,2025-04-16,08:00:00,1993,Low,46,Main Road,Cloudy,No,Green
Industrial Area,2025-04-16,09:00:00,963,High,59,Street,Foggy,No,Green
Sector 22,2025-04-16,10:00:00,264,Medium,30,Highway,Rainy,No,Red
IT Park,2025-04-16,11:00:00,183,Low,66,Highway,Cloudy,No,Yellow
Sector 35,2025-04-16,12:00:00,334,Medium,28,Street,Rainy,No,Green
Industrial Area,2025-04-16,13:00:00,1199,Low,67,Main Road,Sunny,No,Green
Sector 22,2025-04-16,14:00:00,1994,High,15,Main Road,Cloudy,No,Green
Industrial Area,2025-04-16,15:00:00,1512,Medium,13,Highway,Cloudy,No,Green
Industrial Area,2025-04-16,16:00:00,1922,Low,52,Street,Sunny,No,Yellow
Industrial Area,2025-04-16,17:00:00,735,High,51,Main Road,Cloudy,No,Yellow
Sector 35,2025-04-16,18:00:00,1225,Medium,12,Main Road,Foggy,No,Green
Sector 43,2025-04-16,19:00:00,380,Low,10,Highway,Foggy,No,Green
Industrial Area,2025-04-16,20:00:00,1611,Medium,64,Highway,Sunny,No,Green
Sector 17,2025-04-16,21:00:00,1456,Low,24,Main Road,Rainy,No,Red
IT Park,2025-04-16,22:00:00,1188,High,56,Highway,Rainy,No,Red
Sector 35,2025-04-16,23:00:00,943,High,55,Main Road,Cloudy,No,Red
Sector 22,2025-04-17,00:00:00,1555,Medium,67,Street,Rainy,No,Green
Sector 35,2025-04-17,01:00:00,1357,Medium,48,Highway,Rainy,No,Red
Sector 22,2025-04-17,02:00:00,948,Low,12,Highway,Sunny,No,Yellow
Sector 35,2025-04-17,03:00:00,1148,High,39,Street,Rainy,No,Red
Sector 22,2025-04-17,04:00:00,1239,Low,44,Main Road,Rainy,No,Green
Industrial Area,2025-04-17,05:00:00,1262,High,66,Main Road,Rainy,No,Yellow
Sector 43,2025-04-17,06:00:00,127,Medium,38,Highway,Foggy,No,Green
Sector 22,2025-04-17,07:00:00,996,Low,59,Main Road,Foggy,No,Yellow
Sector 22,2025-04-17,08:00:00,1675,Low,71,Main Road,Sunny,No,Red
Sector 17,2025-04-17,09:00:00,737,High,61,Street,Cloudy,No,Red
Sector 22,2025-04-17,10:00:00,70,High,23,Street,Sunny,No,Yellow
Sector 17,2025-04-17,11:00:00,615,High,44,Street,Cloudy,No,Yellow
IT Park,2025-04-17,12:00:00,1257,Medium,37,Highway,Cloudy,No,Green
Industrial Area,2025-04-17,13:00:00,1944,Low,67,Street,Rainy,No,Yellow
Sector 17,2025-04-17,14:00:00,1295,High,39,Street,Rainy,No,Green
Sector 43,2025-04-17,15:00:00,876,Medium,16,Main Road,Sunny,No,Yellow
Industrial Area,2025-04-17,16:00:00,1401,High,48,Street,Sunny,No,Yellow
Sector 17,2025-04-17,17:00:00,228,Low,78,Highway,Sunny,No,Red
Industrial Area,2025-04-17,18:00:00,1861,High,44,Street,Foggy,Yes,Red
Industrial Area,2025-04-17,19:00:00,1185,Low,61,Highway,Foggy,No,Green
Industrial Area,2025-04-17,20:00:00,1809,Medium,23,Main Road,Foggy,No,Green
IT Park,2025-04-17,21:00:00,1799,Medium,72,Main Road,Foggy,No,Green
Sector 43,2025-04-17,22:00:00,1132,High,45,Street,Foggy,Yes,Yellow
Sector 35,2025-04-17,23:00:00,1400,Low,33,Main Road,Rainy,No,Yellow
Sector 35,2025-04-18,00:00:00,954,Low,49,Street,Cloudy,No,Green
Sector 17,2025-04-18,01:00:00,1694,Low,38,Main Road,Foggy,No,Yellow
Industrial Area,2025-04-18,02:00:00,1970,High,62,Highway,Sunny,No,Red
Sector 17,2025-04-18,03:00:00,718,Low,31,Main Road,Cloudy,No,Yellow
IT Park,2025-04-18,04:00:00,240,Low,24,Street,Foggy,No,Red
IT Park,2025-04-18,05:00:00,1273,Low,78,Street,Foggy,No,Green
Sector 22,2025-04-18,06:00:00,1385,Low,73,Street,Rainy,No,Yellow
IT Park,2025-04-18,07:00:00,757,High,13,Highway,Rainy,No,Green
Sector 22,2025-04-18,08:00:00,1108,High,27,Main Road,Rainy,No,Red
Sector 43,2025-04-18,09:00:00,428,Low,51,Street,Foggy,No,Green
Sector 17,2025-04-18,10:00:00,436,Low,39,Highway,Rainy,No,Red
Sector 43,2025-04-18,11:00:00,1831,Medium,24,Highway,Foggy,No,Red
IT Park,2025-04-18,12:00:00,286,Medium,79,Highway,Cloudy,No,Green
Sector 43,2025-04-18,13:00:00,665,Low,64,Main Road,Cloudy,No,Red
Sector 43,2025-04-18,14:00:00,1592,Low,62,Main Road,Foggy,No,Green
Sector 43,2025-04-18,15:00:00,332,Medium,25,Main Road,Sunny,No,Green
IT Park,2025-04-18,16:00:00,50,Medium,43,Highway,Foggy,No,Green
Industrial Area,2025-04-18,17:00:00,1804,Low,36,Main Road,Cloudy,No,Red
Sector 43,2025-04-18,18:00:00,513,High,22,Street,Cloudy,No,Red
Sector 22,2025-04-18,19:00:00,1303,High,36,Highway,Foggy,No,Yellow
IT Park,2025-04-18,20:00:00,1016,Low,78,Main Road,Foggy,No,Green
Sector 43,2025-04-18,21:00:00,221,Low,40,Highway,Foggy,Yes,Green
Industrial Area,2025-04-18,22:00:00,1160,Medium,12,Highway,Cloudy,Yes,Green
IT Park,2025-04-18,23:00:00,1626,Medium,39,Main Road,Sunny,No,Green
Sector 35,2025-04-19,00:00:00,1196,High,30,Highway,Foggy,No,Green
Industrial Area,2025-04-19,01:00:00,892,Low,15,Main Road,Cloudy,No,Green
Sector 22,2025-04-19,02:00:00,1371,Medium,41,Main Road,Foggy,Yes,Green
Sector 43,2025-04-19,03:00:00,1958,High,51,Main Road,Cloudy,No,Yellow
Sector 35,2025-04-19,04:00:00,739,High,71,Highway,Foggy,No,Yellow
Sector 35,2025-04-19,05:00:00,624,High,41,Highway,Cloudy,No,Green
IT Park,2025-04-19,06:00:00,1557,Medium,48,Main Road,Foggy,No,Green
Sector 35,2025-04-19,07:00:00,214,Medium,73,Highway,Rainy,No,Yellow
Sector 22,2025-04-19,08:00:00,1772,Low,39,Main Road,Foggy,No,Yellow
Sector 22,2025-04-19,09:00:00,432,Low,72,Street,Cloudy,No,Green
Sector 17,2025-04-19,10:00:00,258,High,40,Highway,Foggy,No,Green
Sector 22,2025-04-19,11:00:00,1812,High,49,Highway,Sunny,No,Yellow
Industrial Area,2025-04-19,12:00:00,1505,Medium,42,Street,Foggy,No,Yellow
